toe	rocky	foot	wide	mold	massage	contour	rock	ridge	narrow	
rainbow	keen	pair	rainbows	sandals	keens	tevas	birks	reef	newport	
shoe	foot	clean	water	process	lightweight	order	quick	sturdy	design	
wet	soap	dry	traction	sweaty	insole	hike	fragrance	trail	blister	
larger	size	smaller	bigger	medium	width	large	fit	unsure	wide	
strap	ankle	birkenstock	sock	worn	inside	heel	stiff	covered	wearer	
winter	humid	morning	outdoor	summer	night	hour	cool	warm	cold	
leather	sole	line	bottom	suede	solid	rubber	material	strap	side	
comfortable	footwear	feel	super	crocs	couple	hard	lightweight	run	birk	
cost	policy	delivery	shipping	refund	vendor	pricey	money	warranty	seller	
color	dark	darker	snug	tighter	tight	man	fit	toe	contour	
pair	shoe	star	poor	price	glad	due	choice	wrong	local	
online	positive	company	shoe	customer	chance	pair	experience	mail	review	
footbed	cushion	comfort	arch	comfy	birki	supportive	birk	support	break	
pair	size	small	flop	flip	men	foot	thong	regular	sneaker	
average coherence	-136.85134101215786
